City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
289,hun,29.1268,15.9477,20.89,51,0,3.23,LY,1694743520
290,arkalyk,50.2486,66.9114,11.89,73,87,1.22,KZ,1694743520
291,hami,42.8,93.45,21.79,24,98,3.53,CN,1694743520
292,tangalle,6.024,80.7911,24.09,79,83,2.83,LK,1694743520
293,hadibu,12.65,54.0333,26.38,82,36,7.67,YE,1694743521
294,nouadhibou,20.931,-17.0347,22.99,73,1,8.23,MR,1694743521
295,wau,7.7029,27.9953,21.54,97,100,2.34,SS,1694743521
296,pangody,65.85,74.4859,13.2,83,87,1.52,RU,1694743521
297,serhetabat,35.2799,62.3438,16.76,40,0,2.11,TM,1694743522
298,crane,31.3974,-102.3501,28.41,40,16,5.53,US,1694743522
299,san luis de la loma,17.2706,-100.8939,27.94,84,53,1.51,MX,1694743522
300,chhatak,25.0333,91.6667,29.13,74,46,1.3,BD,1694743522
301,sterling,39.0062,-77.4286,20.76,65,0,2.57,US,1694743225
302,aitape,-3.1374,142.3475,26.5,83,100,0.96,PG,1694743523
303,altamira,-3.2033,-52.2064,25.35,64,0,1.63,BR,1694743286
304,topeka,39.0483,-95.678,21.94,53,0,0.0,US,1694743523
305,nguigmi,14.2495,13.1092,28.99,61,100,4.96,NE,1694743523
306,todiresti,47.3167,26.8333,16.38,95,93,2.59,RO,1694743524
307,castillos,-34.1667,-53.8333,7.17,87,44,2.05,UY,1694743524
308,sao tome,0.3365,6.7273,26.02,83,75,4.12,ST,1694743337
309,mantua,45.1667,10.7833,20.75,86,100,2.68,IT,1694743524
310,igurusi,-8.85,33.85,15.63,69,0,1.41,TZ,1694743525
311,cabo san lucas,22.8909,-109.9124,31.45,74,0,2.57,MX,1694743525
312,molina,-35.1167,-71.2833,13.85,77,90,2.06,CL,1694743525
313,cestos city,5.46,-9.5828,24.9,90,99,3.16,LR,1694743525
314,arvika,59.6553,12.5852,10.34,89,100,2.34,SE,1694743526
315,praia da vitoria,38.7333,-27.0667,22.14,88,75,5.0,PT,1694743526
316,lompoc,34.6391,-120.4579,19.88,89,100,3.09,US,1694743526
317,malvan,16.0667,73.4667,25.82,87,100,1.67,IN,1694743526
318,east aurora,42.7678,-78.6134,13.55,81,0,1.29,US,1694743527
319,al ghayzah,16.2079,52.176,26.32,85,13,0.87,YE,1694743527
320,weno,7.4515,151.8468,31.97,74,75,3.09,FM,1694743527
321,palmer,42.1584,-72.3287,16.65,79,40,2.57,US,1694743527
322,tucumcari,35.1717,-103.725,19.97,83,55,8.25,US,1694743528
323,bom jesus da lapa,-13.255,-43.4181,27.91,27,2,2.92,BR,1694743319
324,burang,30.25,81.1667,10.17,73,94,1.58,CN,1694743528
325,sabang,5.8933,95.3214,28.12,72,100,1.88,ID,1694743528
326,marsa alam,25.0757,34.8918,28.73,51,0,4.34,EG,1694743529
327,flin flon,54.7682,-101.865,12.03,91,97,3.04,CA,1694743529
328,luderitz,-26.6481,15.1594,12.17,75,1,5.35,NA,1694743529
329,papao,-17.75,-149.55,24.82,88,100,9.51,PF,1694743529
330,acapulco de juarez,16.8634,-99.8901,28.34,83,100,1.6,MX,1694742734
331,ayr,55.4627,-4.6339,11.29,87,20,2.06,GB,1694743530
332,bhum,18.4667,75.6667,22.99,81,100,4.45,IN,1694743530
333,beipiao,41.7919,120.7792,25.77,40,0,5.97,CN,1694743530
334,uturoa,-16.7333,-151.4333,24.27,84,100,7.47,PF,1694743531
335,sinop,41.7711,34.8709,12.27,60,0,3.7,TR,1694743531
336,yuzhno-kurilsk,44.0306,145.8556,16.98,85,92,5.12,RU,1694743531
337,okha,53.5739,142.9478,16.87,51,16,2.28,RU,1694743531
338,titao,13.7667,-2.0667,28.12,62,23,5.19,BF,1694743532
339,mournies,35.4764,24.0092,20.22,73,20,0.0,GR,1694743532
340,taoudenni,22.6783,-3.9836,35.74,17,5,1.6,ML,1694743532
341,indramayu,-6.3264,108.32,29.21,50,4,4.91,ID,1694743532
342,bel ombre,-4.6167,55.4167,26.91,78,40,9.26,SC,1694743533
343,malango,-2.9627,119.9001,26.44,60,65,2.2,ID,1694743533
344,manicore,-5.8092,-61.3003,26.68,43,2,0.85,BR,1694743533
345,island harbour,50.724,-1.2758,12.77,93,5,1.87,GB,1694743533
346,ballina,-28.8667,153.5667,22.66,58,44,3.02,AU,1694743534
347,urzhar,47.093,81.6294,12.94,55,37,0.16,KZ,1694743534
348,wahiawa,21.5028,-158.0236,28.2,71,100,4.12,US,1694743534
349,sorong,-0.8833,131.25,26.7,80,100,1.6,ID,1694743534
350,nikki,9.9401,3.2108,22.25,95,100,1.45,BJ,1694743535
351,belyy yar,53.6039,91.3903,8.94,93,40,1.0,RU,1694743535
352,port alfred,-33.5906,26.891,13.84,74,100,4.24,ZA,1694743535
353,selfoss,63.9331,-20.9971,4.47,87,9,1.66,IS,1694743535
354,fale old settlement,-9.3852,-171.2468,28.43,72,10,3.26,TK,1694743536
355,la ronge,55.1001,-105.2842,13.14,88,100,5.66,CA,1694743398
356,zheshart,62.0731,49.5733,9.1,90,20,2.51,RU,1694743536
357,severo-yeniseyskiy,60.3725,93.0408,9.87,63,24,0.44,RU,1694743536
358,bryukhovetskaya,45.806,38.9996,16.15,53,11,1.69,RU,1694743536
359,isangel,-19.55,169.2667,25.06,83,100,13.89,VU,1694743537
360,mahebourg,-20.4081,57.7,21.16,83,20,2.57,MU,1694743266
361,tambura,5.6,27.4667,20.48,98,100,1.44,SS,1694743537
362,sokcho,38.2083,128.5911,21.34,94,100,3.6,KR,1694743537
